Adventure Time,mighty-jaxx,adventure-time,6.0,2.0,6.0,3.0,1.0,14.0,3.0,3.0,6.0,31.0,18.0,18.0,13.0
Adventure Time x Kidrobot,kid-robot,adventure-time-x-kidrobot,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,5.0,10.0,12.0,14.0
Aladdin,disney-infinity-figures,aladdin-20,0.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,3.0,2.0,7.0,3.0,3.0
Alice In Wonderland,disney-infinity-figures,alice-in-wonderland-30,0.0,0.0,0.0,7.0,10.0,1.0,4.0,4.0,2.0,2.0,12.0,8.0,3.0
Alice Through the Looking Glass,mystery-minis,alice-through-the-looking-glass,0.0,0.0,0.0,3.0,5.0,11.0,12.0,7.0,0.0,26.0,10.0,28.0,2.0
Alien,sideshow-collectibles,alien,,,,,,,,,,,,,
All,vynl,all,0.0,113.0,150.0,87.0,81.0,51.0,54.0,66.0,87.0,150.0,133.0,274.0,167.0
All-Father Series,marvel-legends,all-father-series,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Alpha Brain Art Studios,funko,alpha-brain-art-studios,,,,,,,,,,,,,
Alternators,transformers,alternators,,,,,,,,,,,,,
Alternity,transformers,alternity,,,,,,,,,,,,,
Amanda Visell Ferals,kid-robot-blind-boxes,amanda-visell-ferals,,,,,,,,,,,,,
Andy Warhol,berbrick,andy-warhol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Andy Warhol Collectible Art,kid-robot-blind-boxes,andy-warhol-collectible-art,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Andy Warhol Series 1,kid-robot-blind-boxes,andy-warhol-series-1,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0
Andy Warhol Series 2,kid-robot-blind-boxes,andy-warhol-series-2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal Crossing Promotional Cards,amiibo-cards,animal-crossing-promotional-cards,0.0,2.0,0.0,7.0,1.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0
Animal Crossing Series 1,amiibo-cards,animal-crossing-series-1,1.0,3.0,3.0,28.0,100.0,2.0,6.0,4.0,11.0,0.0,103.0,12.0,0.0
Animal Crossing Series 2,amiibo-cards,animal-crossing-series-2,1.0,1.0,5.0,0.0,124.0,0.0,2.0,0.0,100.0,0.0,102.0,5.0,0.0
Animal Crossing Series 3,amiibo-cards,animal-crossing-series-3,0.0,1.0,7.0,1.0,126.0,0.0,2.0,37.0,100.0,0.0,105.0,13.0,0.0
Animal Crossing Series 4,amiibo-cards,animal-crossing-series-4,0.0,0.0,8.0,0.0,119.0,0.0,3.0,0.0,100.0,0.0,106.0,5.0,0.0
Animal Crossing X Sanrio,amiibo-cards,animal-crossing-x-sanrio,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,7.0
Animal Crossing: amiibo Festival,amiibo,animal-crossing-amiibo-festival,4.0,20.0,36.0,65.0,28.0,35.0,25.0,5.0,51.0,19.0,50.0,41.0,16.0
Animated,transformers,animated,,,,,,,,,,,,,
Anniversary,berbrick,anniversary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Apocalypse,kid-robot-blind-boxes,apocalypse,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Apocalypse Series,marvel-legends,apocalypse-series,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
